Category,Date,Revenue,Orders,Units,Product_Views
ジーンズ/デニム,05-07-2021,689007.522,56,72,29812
ジーンズ/デニム,06-07-2021,1322930.906,109,133,38576
ジーンズ/デニム,07-07-2021,895962.3876,94,110,33412
ジーンズ/デニム,08-07-2021,923346.3015,88,104,41475
ジーンズ/デニム,09-07-2021,1215072.354,104,137,46375
ジーンズ/デニム,10-07-2021,1008421.718,97,115,40075
ジーンズ/デニム,11-07-2021,910769.6682,87,97,43158
ジーンズ/デニム,12-07-2021,899718.5736,91,103,32931
ジーンズ/デニム,13-07-2021,783512.9421,73,84,33837
ジーンズ/デニム,14-07-2021,796583.8104,80,96,29785
ジーンズ/デニム,15-07-2021,767398.6845,84,89,29473
ジーンズ/デニム,16-07-2021,738906.5859,77,86,33224
ジーンズ/デニム,17-07-2021,755936.8257,78,86,34709
ジーンズ/デニム,18-07-2021,697591.8348,65,71,41703
ジーンズ/デニム,19-07-2021,495278.385,44,50,28301
ジーンズ/デニム,20-07-2021,612065.0172,52,64,25546
ジーンズ/デニム,21-07-2021,419325.4485,42,44,22183
ジーンズ/デニム,22-07-2021,608171.5437,60,70,29264
ジーンズ/デニム,23-07-2021,742012.5783,73,86,33281
ジーンズ/デニム,24-07-2021,477719.8629,45,56,30424
ジーンズ/デニム,25-07-2021,697238.1822,64,76,32815
ジーンズ/デニム,26-07-2021,377989.8297,44,53,23318
ジーンズ/デニム,27-07-2021,1002149.327,95,103,31947
ジーンズ/デニム,28-07-2021,635048.043,73,75,30699
ジーンズ/デニム,29-07-2021,630240.7839,69,78,22484
ジーンズ/デニム,30-07-2021,702759.3363,57,71,29787
ジーンズ/デニム,31-07-2021,870305.0013,76,93,30246
ジーンズ/デニム,01-08-2021,1021637.562,101,113,38562
ジーンズ/デニム,02-08-2021,575218.1505,62,68,26872
ジーンズ/デニム,03-08-2021,1297362.482,124,164,34155
ジーンズ/デニム,04-08-2021,762896.7528,75,118,28182
ジーンズ/デニム,05-08-2021,768613.4043,81,96,27759
ジーンズ/デニム,06-08-2021,619295.1261,67,72,32011
ジーンズ/デニム,07-08-2021,626564.7738,74,81,34059
ジーンズ/デニム,08-08-2021,748072.9977,92,107,40389
ジーンズ/デニム,09-08-2021,804602.4987,87,103,36641
ジーンズ/デニム,10-08-2021,908196.3513,107,122,33217
ジーンズ/デニム,11-08-2021,855844.7835,91,99,31069
ジーンズ/デニム,12-08-2021,726342.0339,91,97,32544
ジーンズ/デニム,13-08-2021,1644542.8,171,227,49279
ジーンズ/デニム,14-08-2021,1265098.821,141,202,46616
ジーンズ/デニム,15-08-2021,1174709.829,145,180,49644
ジーンズ/デニム,16-08-2021,889065.0636,101,121,41036
ジーンズ/デニム,17-08-2021,938799.3825,101,126,38708
ジーンズ/デニム,18-08-2021,821653.6062,88,122,34168
ジーンズ/デニム,19-08-2021,608033.1579,75,102,31424
ジーンズ/デニム,20-08-2021,732647.3742,76,90,33092
ジーンズ/デニム,21-08-2021,842298.3513,95,130,36987
ジーンズ/デニム,22-08-2021,1223707.189,124,153,46120
ジーンズ/デニム,23-08-2021,685626.9546,76,88,34137
ジーンズ/デニム,24-08-2021,661409.4396,78,86,36218
ジーンズ/デニム,25-08-2021,782192.7855,84,92,32419
ジーンズ/デニム,26-08-2021,675423.7476,81,91,29460
ジーンズ/デニム,27-08-2021,1035949.509,81,90,59127
ジーンズ/デニム,28-08-2021,865806.3645,55,65,41630
ジーンズ/デニム,29-08-2021,946536.906,62,68,43230
ジーンズ/デニム,30-08-2021,730194.8703,46,55,30211
ジーンズ/デニム,31-08-2021,473966.9718,32,37,31796
ジーンズ/デニム,01-09-2021,1077500.395,69,76,34639
ジーンズ/デニム,02-09-2021,664847.1186,47,57,32675
ジーンズ/デニム,03-09-2021,952052.5686,64,72,32961
ジーンズ/デニム,04-09-2021,964274.451,66,71,37971
ジーンズ/デニム,05-09-2021,1023594.732,82,90,44098
ジーンズ/デニム,06-09-2021,818778.2568,65,69,39056
ジーンズ/デニム,07-09-2021,739794.0123,66,79,42559
ジーンズ/デニム,08-09-2021,865002.4089,69,81,38391
ジーンズ/デニム,09-09-2021,624692.1723,55,69,38018
ジーンズ/デニム,10-09-2021,659390.7642,50,64,35638
ジーンズ/デニム,11-09-2021,850703.6412,68,93,50837
ジーンズ/デニム,12-09-2021,1267420.627,105,121,55611
ジーンズ/デニム,13-09-2021,712081.7067,60,64,40335
ジーンズ/デニム,14-09-2021,667390.7814,58,62,39372
ジーンズ/デニム,15-09-2021,806487.1815,63,72,35888
ジーンズ/デニム,16-09-2021,846132.5166,71,82,39719
ジーンズ/デニム,17-09-2021,876525.7725,67,77,41069
ジーンズ/デニム,18-09-2021,1153243.556,75,86,42157
ジーンズ/デニム,19-09-2021,1046177.977,74,85,44154
ジーンズ/デニム,20-09-2021,811997.3526,57,63,42217
ジーンズ/デニム,21-09-2021,848733.291,54,60,33177
ジーンズ/デニム,22-09-2021,505230.0813,35,39,30655
ジーンズ/デニム,23-09-2021,1050548.113,81,93,44068
ジーンズ/デニム,24-09-2021,736538.6511,49,58,31139
ジーンズ/デニム,25-09-2021,806964.942,51,57,37721
ジーンズ/デニム,26-09-2021,1083597.058,79,86,44487
ジーンズ/デニム,27-09-2021,794915.4927,57,60,31934
ジーンズ/デニム,28-09-2021,613635.5862,46,51,35844
ジーンズ/デニム,29-09-2021,666266.1222,47,53,34581
ジーンズ/デニム,30-09-2021,469025.7201,41,43,30717
ジーンズ/デニム,01-10-2021,6456246.72,182,194,74319
ジーンズ/デニム,02-10-2021,1098189.072,64,69,47211
ジーンズ/デニム,03-10-2021,1137133.691,70,80,46900
ジーンズ/デニム,04-10-2021,745384.3593,50,55,33703
ジーンズ/デニム,05-10-2021,964125.0822,69,80,40131
ジーンズ/デニム,06-10-2021,837909.5445,49,53,33367
ジーンズ/デニム,07-10-2021,783433.8645,51,62,32444
ジーンズ/デニム,08-10-2021,961940.5635,72,98,35101
ジーンズ/デニム,09-10-2021,1040094.493,93,116,42211
ジーンズ/デニム,10-10-2021,1222332.117,107,126,49153
ジーンズ/デニム,11-10-2021,1140948.087,99,114,37755
ジーンズ/デニム,12-10-2021,793283.4189,71,86,36368
ジーンズ/デニム,13-10-2021,1091824.423,82,117,36125
ジーンズ/デニム,14-10-2021,985878.012,90,106,34060
ジーンズ/デニム,15-10-2021,642157.3389,62,70,33323
ジーンズ/デニム,16-10-2021,916841.0706,95,110,39453
ジーンズ/デニム,17-10-2021,1370904.65,119,129,52174
ジーンズ/デニム,18-10-2021,876690.5175,86,98,40440
ジーンズ/デニム,19-10-2021,1871941.422,228,361,64943
ジーンズ/デニム,20-10-2021,1441659.332,201,304,58242
ジーンズ/デニム,21-10-2021,1228124.552,170,221,50528
ジーンズ/デニム,22-10-2021,1655420.363,173,324,51527
ジーンズ/デニム,23-10-2021,1206907.592,134,219,52526
ジーンズ/デニム,24-10-2021,1320899.051,150,179,67759
ジーンズ/デニム,25-10-2021,1322576.155,134,236,48254
ジーンズ/デニム,26-10-2021,916316.0832,76,91,42479
ジーンズ/デニム,27-10-2021,633184.2279,58,64,34821
ジーンズ/デニム,28-10-2021,522405.2967,46,54,36106
ジーンズ/デニム,29-10-2021,613350.0282,48,58,35991
ジーンズ/デニム,30-10-2021,526898.442,46,53,40985
ジーンズ/デニム,31-10-2021,890587.3074,67,75,48480
ジーンズ/デニム,01-11-2021,757887.4065,49,55,33210
ジーンズ/デニム,02-11-2021,543330.1083,45,49,37271
ジーンズ/デニム,03-11-2021,703158.0192,65,80,46377
ジーンズ/デニム,04-11-2021,580497.6786,48,56,33279
ジーンズ/デニム,05-11-2021,705129.4677,61,71,31156
ジーンズ/デニム,06-11-2021,949121.2059,70,85,39369
ジーンズ/デニム,07-11-2021,805538.2503,71,78,44554
ジーンズ/デニム,08-11-2021,747074.643,57,62,33396
ジーンズ/デニム,09-11-2021,517200.453,58,66,36888
ジーンズ/デニム,10-11-2021,629764.1217,55,61,31901
ジーンズ/デニム,11-11-2021,801496.5063,65,77,31377
ジーンズ/デニム,12-11-2021,544664.5428,46,55,32364
ジーンズ/デニム,13-11-2021,919043.1621,75,82,38336
ジーンズ/デニム,14-11-2021,862013.9346,69,81,44012
ジーンズ/デニム,15-11-2021,635768.5278,54,58,34284
ジーンズ/デニム,16-11-2021,799593.1524,69,81,34511
ジーンズ/デニム,17-11-2021,837381.2622,67,71,32256
ジーンズ/デニム,18-11-2021,970259.0877,73,79,34064
ジーンズ/デニム,19-11-2021,965055.3423,72,87,42504
ジーンズ/デニム,20-11-2021,783676.5888,67,70,38711
ジーンズ/デニム,21-11-2021,1053259.815,92,103,44147
ジーンズ/デニム,22-11-2021,709609.4334,54,65,34552
ジーンズ/デニム,23-11-2021,1020282.26,78,96,43943
ジーンズ/デニム,24-11-2021,691607.1981,54,68,32075
ジーンズ/デニム,25-11-2021,592002.3711,49,55,31652
ジーンズ/デニム,26-11-2021,701266.7466,54,66,35047
ジーンズ/デニム,27-11-2021,575859.5577,54,59,38481
ジーンズ/デニム,28-11-2021,916864.1349,68,81,43384
ジーンズ/デニム,29-11-2021,763700.7084,66,75,31199
ジーンズ/デニム,30-11-2021,669803.7465,57,62,32978
ジーンズ/デニム,01-12-2021,758167.473,58,65,33405
ジーンズ/デニム,02-12-2021,672288.1011,51,61,31603
ジーンズ/デニム,03-12-2021,561467.4345,47,55,35121
ジーンズ/デニム,04-12-2021,775696.341,68,78,41911
ジーンズ/デニム,05-12-2021,938340.2931,84,91,44248
ジーンズ/デニム,06-12-2021,659673.0273,51,55,32989
ジーンズ/デニム,07-12-2021,764420.0949,61,70,34933
ジーンズ/デニム,08-12-2021,770607.9171,63,76,40037
ジーンズ/デニム,09-12-2021,752566.143,53,60,33285
ジーンズ/デニム,10-12-2021,2306680.412,179,211,63127
ジーンズ/デニム,11-12-2021,1282578.266,110,127,54772
ジーンズ/デニム,12-12-2021,1517759.441,124,143,57490
ジーンズ/デニム,13-12-2021,984598.4925,73,88,39859
ジーンズ/デニム,14-12-2021,806525.622,75,83,40799
ジーンズ/デニム,15-12-2021,764835.2523,65,72,32986
ジーンズ/デニム,16-12-2021,732117.9936,60,65,31330
ジーンズ/デニム,17-12-2021,844124.8242,71,82,31779
ジーンズ/デニム,18-12-2021,795329.5518,63,66,37057
ジーンズ/デニム,19-12-2021,1168090.375,88,101,47051
ジーンズ/デニム,20-12-2021,740286.0507,54,64,31527
ジーンズ/デニム,21-12-2021,798072.0069,72,82,32447
ジーンズ/デニム,22-12-2021,618440.6487,50,58,31521
ジーンズ/デニム,23-12-2021,1273460.179,113,138,44991
ジーンズ/デニム,24-12-2021,1644871.192,160,225,62839
ジーンズ/デニム,25-12-2021,1163681.799,124,156,49573
ジーンズ/デニム,26-12-2021,1438622.533,131,178,55478
ジーンズ/デニム,27-12-2021,831488.8827,89,109,40230
ジーンズ/デニム,28-12-2021,894017.2983,81,119,39095
ジーンズ/デニム,29-12-2021,788305.9233,81,99,41875
ジーンズ/デニム,30-12-2021,763155.9516,72,99,44342
ジーンズ/デニム,31-12-2021,802199.4183,68,97,38717
ジーンズ/デニム,01-01-2022,1127895.706,101,122,49641
ジーンズ/デニム,02-01-2022,1203347.193,107,126,58749
ジーンズ/デニム,03-01-2022,1396130.927,115,143,58026
ジーンズ/デニム,04-01-2022,1506126.334,123,148,57965
ジーンズ/デニム,05-01-2022,1085796.197,96,111,68416
ジーンズ/デニム,06-01-2022,2134801.311,143,183,76285
ジーンズ/デニム,07-01-2022,2342835.428,209,300,79410
ジーンズ/デニム,08-01-2022,1769867.228,156,198,69874
ジーンズ/デニム,09-01-2022,1815990.004,159,211,75685
ジーンズ/デニム,10-01-2022,1599005.765,143,178,66801
ジーンズ/デニム,11-01-2022,1571553.833,127,166,52511
